0 , 40673
.5 , 69666
1 , 118319
1.5 , 278610
2 , 49492


3 , 5904
3.5 , 684
4 , 5385
4.5 , 33380
5 , 703


6 , 436
6.5 , 991
7 , 50756
7.5 , 27297
8 , 748


9 , 641
9.5 , 2258
10 , 859
10.5 , 85774
11 , 952


12 , 600
12.5 , 2510
13 , 2018
13.5 , 27739
14 , 623
